"Age","Partnered","Never partnered","Separated","Widowed"
20,21117,279803,325,127
21,33926,278066,537,119
22,49097,264325,967,128
23,66936,251465,1380,145
24,87925,241066,1960,110
25,110982,226926,2989,174
26,136208,212872,4052,176
27,158831,191120,5421,217
28,179835,172352,6822,231
29,199590,154253,8374,270
30,219514,141620,10518,339
31,236854,124992,12382,376
32,244332,111292,14249,397
33,252139,99506,16018,479
34,259104,90187,18241,532
35,266336,84792,20283,578
36,270695,77890,22089,706
37,270490,73022,23675,783
38,273653,68853,26012,944
39,265576,64067,27393,971
40,259421,62002,29197,1159
41,246460,57144,29305,1202
42,241105,54491,30985,1235
43,233308,51984,31841,1535
44,230364,50546,33865,1678
45,228622,50090,35853,1900
46,229778,49205,38222,2105
47,231560,49406,41212,2348
48,235051,49721,43984,2649
49,242687,50481,47951,3152
50,246122,50219,51632,3585
51,228937,44733,48722,3661
52,225472,43163,49846,4213
53,214887,40281,49280,4464
54,208744,38820,49334,4825
55,207299,37333,49972,5340
56,208952,36290,51297,6088
57,214939,35850,53348,6996
58,217593,34849,55014,8024
59,214891,33462,55554,8791
60,213115,32106,55822,9855
61,205667,28690,53651,10755
62,201525,27308,52604,11722
63,196790,24694,52234,12531
64,190942,23164,51224,13684
65,187918,21325,49911,15226
66,181940,19685,48519,16082
67,175363,17969,46566,17599
68,173377,16693,45691,18893
69,166708,14904,43906,20201
70,163117,13789,42134,22146
71,159102,12387,40403,23967
72,151830,11514,37567,25554
73,149062,10651,36249,28016
74,154632,10460,36068,32099
75,123692,8278,28204,29262
76,114147,7612,25731,30704
77,105471,6727,23145,31489
78,90117,5732,19415,30668
79,85076,5450,17797,33203
80,74531,4851,15287,32977
81,68022,4413,13239,34650
82,60300,4030,11511,35737
83,52545,3635,10192,35451
84,45941,3144,8717,35456
85,38614,2806,7321,34416
86,31719,2396,5953,33060
87,26107,2044,4808,31269
88,21603,1815,4182,29922
89,17263,1712,3428,27927
90,14140,1529,2761,27148
91,11095,1307,2217,24825
92,8056,1074,1744,21188
93,5652,899,1368,18148
94,3942,645,960,14633
95,2617,541,673,11668
96,1593,399,462,9013
97,996,296,305,6634
98,596,224,208,4711
99,370,238,165,3292
100,363,199,162,4801
