"Age","Regional","Capital cities","Sydney","Melbourne"
20,88064.9153192769,84678.3417443641,59424.0644949406,57144.6784414184
21,87020.7327410591,86980.7282668014,60997.8222363832,60054.7167557564
22,84109.4267218188,86036.8031418888,61431.9977792933,60277.7723569992
23,82740.3372833313,84988.8084245246,62359.0666231468,61027.7876689973
24,83679.5421411912,85167.8719329233,63103.9829034766,61389.6030224089
25,84248.4192460144,86561.1170280548,65347.716567964,62134.7471579667
26,85022.5493123124,86900.0693426564,67473.6886770672,63877.692667964
27,84416.4761247412,86775.2159126561,68129.3678860513,63576.9400765514
28,85830.9126835781,86677.1385847797,70200.7401869159,64463.2085447263
29,84394.5892923477,84222.5493592125,69711.1810456909,63245.6803027489
30,85061.6143570126,83284.1836034654,70069.9811920345,62806.2208474875
31,82630.9731543624,80484.5322558554,67686.903506369,61297.5910834132
32,82511.7061295705,79172.9896767314,67303.4425988881,59935.86159481
33,83305.4430550293,77589.5206728138,65614.5882699676,58548.4480021894
34,84859.9245279066,77841.7729307503,65511.749717163,58217.5528241801
35,87365.1060472723,78454.8713698697,64959.001268077,57887.0213147811
36,89997.2131965227,79949.8497051379,65785.9275704582,59021.0095278813
37,94224.2813663795,80941.1270942092,66665.81191262,60300.7796267913
38,98372.3676998768,83533.5021085483,67622.5017248828,60676.628466692
39,104324.011520197,87552.1158556892,69626.0209189023,62853.8517052112
40,108028.526109476,89332.1467469741,69874.6298091843,64715.6973343658
41,101138.84465046,84827.1279379307,64864.8032175086,61388.2241941012
42,102479.916962261,83226.6780833866,63501.3843112171,60374.0206431354
43,97944.1852369419,80073.1443620691,61212.9905303857,58492.6798706032
44,97717.4030859006,78551.1664910323,59471.9400497726,55618.4903732944
45,98331.8404590829,77968.560100373,59887.6474125165,55570.9520280276
46,100004.251033303,78616.2031450425,60677.6468240772,55429.8989975771
47,104957.168737425,80780.9050524742,62254.4040596299,55721.5221504711
48,107736.32185827,80628.9699682695,62985.7883459442,55961.9198275161
49,109247.816540039,80450.1201046516,61715.0647221742,55177.9986331355
50,110141.208359908,79585.7118186724,61472.0462149831,54591.0336064367
51,106076.429909594,76790.4460453188,58676.9820139725,52502.142031115
52,105652.229256466,75403.1553071121,56533.6139547414,51986.001481681
53,103332.540913519,72828.543605547,56243.3702495439,49947.5452313905
54,101348.97318383,71137.8079105886,54617.5302271573,48513.6886784237
55,100597.82321481,70304.2628269174,53177.2498971496,48192.6640611225
56,99082.4669168872,68025.2457359921,51664.0219798892,46097.2653672314
57,96392.0219533491,66231.2603218161,49694.1978296121,44258.5198952227
58,96983.3354760006,65816.1216980247,48949.759067236,44057.7837587388
59,94551.2694146531,64237.3739178188,46700.5418335702,42198.8148339579
60,94494.15067707,63186.7997118332,46105.8802886553,41946.1693224416
61,93981.8826468563,62080.4914106206,45853.7491414743,40691.8768010488
62,91457.6217536751,60041.9426833732,43954.5466168422,39538.8889461095
63,91046.9770174647,59642.5704675699,44229.3893406678,39973.0631742977
64,97741.4920054709,62844.8171324594,45344.4757097843,41945.2151522854
65,81304.9559125186,50045.6660447761,38602.8278112058,34813.5502314996
66,79272.2720570554,47792.1784517469,35957.3913710804,32450.1581201173
67,75800.8610809742,45317.9062204384,34663.22293957,31339.0097590175
68,68273.7254657641,40483.3949559696,30405.5498232792,27781.3297549871
69,68166.3052733665,39794.9295914656,29267.4191295915,27759.3460055764
70,62731.1274429994,36604.5754570143,28264.7608416748,25965.5362583116
71,60625.5333638703,35422.8173710375,27014.9112856508,25406.7379794414
72,57888.0718933558,34063.3960465689,25842.8178045092,24370.7142555661
73,54488.2606564317,32180.106879981,24525.3678409353,23456.264622652
74,52683.2230390639,30669.7119962236,23620.5483501517,22253.5166145608
75,49434.8328721366,28647.6416583433,22499.2893258887,21571.2361436314
76,45451.1992506333,27177.7170964678,21057.5556132142,20012.5280396848
77,42545.1870866933,25483.7110410447,19963.55701889,19527.544853372
78,41155.5920925374,24579.9508685056,19375.749545437,18288.7074935201
79,38919.7664896264,23578.6760162891,18510.3157477836,17469.2417463009
80,38782.1794229755,23621.7183711123,18586.5652447184,17656.5369611938
81,36667.1683023197,22418.7143130257,17884.5698445068,17184.5475401478
82,33905.9421658036,20919.1982723065,16854.9654690436,15608.8940928463
83,31647,19873,15878,14679
84,28165,18268,14639,13680
85,25957,16954,13157,12589
86,23283,15114,12152,11099
87,19980,13199,10819,9775
88,16965,11469,9492,8364
89,14658,10120,8316,7317
90,12101,8324,6903,6168
91,9411,6669,5353,4830
92,6573,4589,3696,3212
93,5251,3573,3005,2590
94,4273,2826,2313,2088
95,3043,2190,1800,1589
96,2403,1639,1382,1195
97,1606,1125,908,834
98,1005,825,663,575
99,687,510,426,381
100,1142,838,668,634
