"Age","Total"
20,301381
21,312655
22,314519
23,319928
24,331063
25,341075
26,353303
27,355587
28,359229
29,362487
30,371996
31,374597
32,370276
33,368151
34,368059
35,371982
36,371385
37,367966
38,369464
39,358028
40,351793
41,334111
42,327822
43,318666
44,316452
45,316469
46,319301
47,324521
48,331411
49,344265
50,351555
51,326055
52,322696
53,308918
54,301719
55,299951
56,302630
57,311151
58,315483
59,312697
60,310898
61,298774
62,293164
63,286253
64,279015
65,274364
66,266220
67,257505
68,254658
69,245716
70,241192
71,235866
72,226470
73,223976
74,233262
75,189431
76,178187
77,166835
78,145927
79,141538
80,127654
81,120314
82,111569
83,101809
84,93253
85,83149
86,73133
87,64218
88,57544
89,50347
90,45590
91,39450
92,32070
93,26072
94,20181
95,15502
96,11480
97,8238
98,5746
99,4073
100,5548
