"Age","<$500/week","$500-1k/week","$1k-1.8k/week",">$1.8k/week"
30,68920.6403969204,69411.9644251876,108536.075151881,54357.3200260111
31,67104.8513916556,66095.390591218,101878.886601596,57045.8714155305
32,67711.6152950006,63965.8617729535,97386.3550350431,59865.1678970028
33,67262.4010245484,63306.802789552,93405.1037619663,61093.6924239333
34,67648.361650303,63414.8210167045,91213.8509299493,64160.9664030432
35,69180.1110403373,64028.4578393137,90380.2768744808,65081.1542458681
36,70648.9644277854,65370.8467689301,90545.888113061,68195.3006902235
37,72573.846229086,67253.4477293421,91797.5603801502,70504.1456614216
38,74554.5615748031,69827.057007874,92919.1398425197,72918.2415748031
39,77211.9944599807,73351.6096804549,97177.0189725782,76613.3768869863
40,79201.2272647875,75713.5771318406,98782.7506097443,78258.4449936276
41,73441.7099922647,72058.062937688,93328.0135865922,73405.2134834551
42,72448.579209413,72507.576423753,92257.6984315071,72383.145935327
43,69148.1232398171,70182.8734829114,89151.5074728995,69257.4958043721
44,66860.2045781158,68942.1895162031,88138.4333589388,67448.1725467423
45,67045.9112495778,69642.6052734002,88269.3856720079,66793.0978050142
46,67200.5888376112,71105.4098298155,89661.0678196269,66747.9335129463
47,69109.1098738407,72725.6390237196,92765.3644906923,69120.8866117474
48,70258.531904452,74646.3474075131,93776.4528333409,68648.667854694
49,70329.9459987578,74419.0456337714,93210.5019365915,68654.5064308794
50,71666.8782103115,73488.8721266027,92816.7805629356,67849.4691001502
51,69956.1456597708,70754.86850402,88797.2370098583,64529.7488263508
52,70623.4723294248,69023.6432166928,86749.0225907118,63171.8618631705
53,71100.7861154423,67384.22940099,82895.8847393996,60979.0997441681
54,72602.1173467806,65177.0586249399,79698.1231065598,58153.7009217197
55,74668.5842329389,65053.4235924512,77480.7165417433,55085.2756328666
56,77201.872087763,62924.7256115294,73586.5784769121,51175.8238237955
57,79014.6579029643,61109.8164291282,69346.7707375433,47081.7549303642
58,83374.5859637832,60610.8907936694,66979.3373314221,44843.1859111254
59,85715.902423552,59190.8212500971,62740.5389554905,40037.7373708604
60,91706.288291233,59917.3595697575,59522.1800158639,34585.1721231456
61,96501.5729185533,59968.3752722325,55396.2327792233,30747.8190299909
62,99462.9730295567,57983.3557060755,51151.1917487685,26401.4795155993
63,105686.084928454,57919.2660665269,47671.3345756318,23624.3144293877
64,115793.530340908,64275.6584517703,45914.0945477194,21888.7166596023
65,102678.211389794,54595.7889985777,32271.3082361091,15214.6913755189
66,103389.978814142,52443.7088457835,27442.2886229192,12214.023717155
67,104041.116117631,49809.2777371654,22932.4741004668,10340.1320447363
68,96596.5760101468,44368.2253384412,17982.3593042218,7990.83934719023
69,97853.0352093315,43712.1464339015,16360.8658982012,7088.95245856571
70,94822.1030241011,39909.580662691,13206.013479657,5630.30283355094
71,94174.2745517246,37917.3394738576,11564.022170319,4812.36380409873
72,91347.9999463885,36246.5275065291,10302.3323300324,4268.14021704999
73,88316.7263018657,33649.2540108905,9064.62564210765,3613.39404513621
74,85915.6821014382,32022.5393764964,8100.26409760073,3190.51442446471
75,82067.5711187421,29856.3015994939,7279.43992409181,2959.68735767215
76,77210.5222550194,27521.3060174767,6311.5351238663,2660.63660363757
77,73564.5013511415,25776.1302686753,5827.85013200808,2354.51824817518
78,70389.0630327185,24977.9203643334,5731.82963837415,2308.18696457388
79,66948.5345514494,23964.4681961808,5392.45631268031,2172.54093968952
80,66645.1509638194,24172.3284816103,5573.07408857465,2259.44646599572
81,63137.4408152346,23492.6284505193,5286.35664080551,2239.57409344067
82,58112.0975457764,22107.9009427083,4980.90464194323,2102.09686957213
83,53946.6661533416,21394.4394918082,4849.12537964666,1893.76897520355
84,48600.4428842505,19660.2929949399,4661.20709993675,1837.05702087287
85,43385.0652941279,18910.8264793337,4582.05505225269,1780.05317428576
86,38203.4621329212,17571.9766008647,4313.70258055681,1550.85868565727
87,32852.4766812027,15665.3129217351,3913.85969703925,1345.35070002295
88,28318.5428756512,13453.5893006559,3344.02075629572,1198.84706739723
89,24879.1980356974,11724.0215317783,2778.34885258287,1030.43157994145
90,20732.2973025197,9655.23461895192,2284.75738135724,804.710697171124
91,16716.6666666667,7253.06666666667,1607.42222222222,677.844444444444
92,11702.705601907,4817.65196662694,1084.2073897497,475.435041716329
93,9379.93069306931,3766.93663366337,874.734653465346,405.39801980198
94,7675.73742540494,2839.18243819267,656.919863597613,329.160272804774
95,5744.62450592885,2204.00197628458,489.146245059289,196.227272727273
96,4626.22533073086,1516.65365430492,323.763825634353,168.357189329863
97,3155.92164544564,1015.02840352596,207.089128305583,88.9608227228208
98,2230.50455635492,651.242206235012,121.367865707434,82.8853717026379
99,1477.7072808321,396.929420505201,75.8179791976226,50.5453194650817
100,2433.81562938699,600.810014038372,139.118858212447,93.25549836219
