"Age","Up to secondary","Post-secondary","University"
30,93613.2800233794,98635.2722424154,108966.447734205
31,90567.3661917886,95724.7811831147,105815.852625097
32,90283.5726389311,95138.9551320984,103509.472228971
33,91490.3379725872,93768.6965835777,99801.9654438352
34,92675.595706359,95404.1191190923,98358.2851745487
35,95560.4748201712,97134.4867417707,95972.0384380581
36,98562.5544719492,100019.036136438,96181.409391613
37,102099.762698979,104655.975689932,95377.2616110896
38,107198.652621779,107503.86553795,95506.4818402705
39,115186.043777363,112694.066974066,96480.8892485713
40,122123.381104609,115691.738253127,94130.8806422636
41,117971.507099698,108119.799848943,86131.6930513595
42,120152.736461364,107207.245955439,82229.0175831973
43,118958.017841391,102282.225054716,76498.7571038927
44,119127.800626399,100515.763374113,71733.4359994874
45,120443.420465982,100537.780201968,70772.7993320492
46,122417.006973678,103399.607890304,68907.3851360185
47,127295.885736255,105974.51888014,70453.5953836054
48,130553.940106296,107111.431929681,69659.6279640229
49,131393.265206743,106288.364947438,68935.3698458197
50,132510.034892959,105237.392153959,68059.5729530812
51,128344.657968915,99927.4859906392,65764.856040446
52,126468.701994903,98130.9675718429,64970.3304332542
53,123907.854302355,94716.7905889905,63724.3551086548
54,122133.622308915,91176.5104151616,62326.8672759235
55,123254.938931671,88523.9620501627,60508.0990181666
56,122423.799979042,84629.4791994132,57826.7208215446
57,120750.555326291,81222.4859802573,54585.9586934517
58,122496.289843913,79999.7799775527,53310.9301785341
59,122066.382888431,76216.4665222121,49413.1505893565
60,124402.075494881,74651.3088327645,46664.615672355
61,125241.102387944,72724.9039097272,44645.9937023288
62,124585.824851697,69078.9599689749,41327.2151793281
63,127848.982435721,67655.7784072874,39413.2391569916
64,136745.786781357,70947.0129483527,40183.20027029
65,116464.572781763,56881.2804804069,31420.1467378298
66,113236.322423398,53460.2832272185,28786.3943493832
67,109273.53959924,51278.6691357873,26567.7912649731
68,99520.5693305015,44648.2282236011,22770.2024458974
69,99312.0297836035,43826.107189948,21861.8630264485
70,94432.6548091603,40193.1375572519,18944.2076335878
71,92885.0744186047,38207.4241796751,17385.5014017203
72,90490.0394967964,35687.9881894374,15995.9723137662
73,87306.1439490446,32949.5620685047,14391.2939824507
74,85077.3527464386,31322.6013373473,12823.0459162142
75,82262.0777134617,28429.2200813187,11474.7022052196
76,77992.1060367909,25523.9944282447,10205.8995349644
77,74893.3766416619,23373.3148182343,9250.30854010387
78,72642.036319319,22070.8315123146,8680.13216836642
79,69659.8571061424,20998.1835003855,7821.95939347212
80,70369.9959823743,20624.5643597719,7647.43965785381
81,67390.5036937542,19491.883718699,7274.61258754677
82,63168.537514619,17551.6881728491,6578.77431253186
83,60125.826825264,16008.100099794,5945.07307494206
84,55553.8402832415,13963.9880552178,5240.17166154066
85,51428.2875575312,12418.1026316825,4824.60981078636
86,46725.4012291096,11014.5746750376,3910.02409585286
87,41137.6049265386,9231.61830884619,3401.77676461523
88,36088.3970091655,7597.18982151471,2626.41316931983
89,31562.7166345311,6588.19652936021,2255.08683610868
90,26436.5357234315,5183.80264618011,1875.66163038839
91,21062.6958805186,3883.56485584551,1335.73926363587
92,14664.4836239205,2490.25093693987,931.265439139645
93,11870.0076258261,1858.30960854093,696.682765632944
94,9472.08998060763,1475.18590820944,543.724111182935
95,7173.40398392451,1059.93045605452,407.665560020968
96,5597.24349827388,729.277560414269,316.478941311853
97,3767.56708347415,517.680973301791,193.751943224062
98,2579.19979869149,331.500754906895,167.29944640161
99,1725.30564263323,213.699059561129,65.9952978056426
100,2795.19144704127,339.845847836897,134.96270512183
