"Age","Australia","Asia","Europe","Other"
20,234951.697214827,28578.8951464264,8740.19890436207,17039.2087343846
21,231674.391483175,36509.864985948,8830.95963612417,18054.7838947524
22,221867.576356692,41376.6714938663,9595.22307863472,19010.5290708066
23,215151.994997125,44422.0804781664,10981.8530048381,20534.0715198705
24,213095.001165599,45890.7273300138,12126.3327311073,22228.9387732801
25,212670.995676671,47894.2719363285,13572.1983716774,24148.5340153233
26,212306.073942111,50512.1656816412,14777.4270570117,25679.3333192364
27,209282.433254304,51736.0696960836,15532.5597035169,26374.9373460954
28,209751.391172268,54241.8618759623,16368.7513420538,26819.9956097155
29,205124.758851526,52116.4888217267,17039.2500176536,27287.5023090937
30,203454.88891126,50562.8730797896,18939.398178074,28271.8398308767
31,195322.711734953,48106.2501562432,20136.4386327631,28553.5994760403
32,195151.278879154,45303.4678402713,20078.9024912182,28392.3507893568
33,195426.21612348,41948.2769787248,19750.6514931282,27947.8554046669
34,197471.814059837,40874.2034003571,19494.6165707336,28612.3659690722
35,199909.24768477,39253.3795951874,20499.9862497114,29003.3864703317
36,205860.297657951,38301.7541584013,21150.3419951,29450.6061885477
37,213645.695777291,36244.7128403688,22590.6725667435,29650.9188155969
38,219918.517720372,35873.5707179459,24071.44076401,30361.4707976723
39,232415.623649675,35463.7684579729,25327.9400608909,31166.6678314612
40,238551.849996812,34699.6054198814,27678.8300644009,31016.7145189058
41,219821.165894391,33624.183721615,27979.6411877596,30813.0091962349
42,215789.485569549,32366.360677577,30917.5625945776,30513.591158296
43,203204.330994148,31346.1873882965,33397.4954323703,29789.9861851853
44,197615.299511122,28640.7720820676,35666.9246395116,29454.0037672985
45,194593.235491391,30323.4161823515,37610.217287424,29219.1310388334
46,195139.102567873,30518.8947275916,39693.5912063158,29362.4114982191
47,201716.559796243,31675.3232035344,40960.0352533727,29362.0817468503
48,204845.435639371,32502.6348708449,41295.2245873303,28685.7049024536
49,207131.673374153,29888.9654363088,40951.8193051366,28627.5418844011
50,208668.14758171,28522.2219304051,40788.7163502684,27822.9141376168
51,199595.824138639,28156.8143937621,39804.8439271816,26487.5175404177
52,197456.239609178,26394.6800636733,39784.3455373806,25933.7347897684
53,192367.704320034,26743.7175397266,38785.1695751992,24467.4085650406
54,187360.574675113,26246.9973225364,38552.0639979103,23461.3640044407
55,184544.540579237,25674.9146707752,38926.5860528814,23141.9586971069
56,179907.669774977,23772.3668046805,38903.2228982898,22304.7405220522
57,173757.717877706,21735.863615164,40211.2417937553,20861.1767133747
58,174163.293263721,20142.1251401409,41111.8203879679,20389.7612081697
59,168101.775736472,18485.6077417701,41722.7828501848,19379.8336715729
60,164889.377256808,17744.5985758042,44481.6427103661,18608.3814570221
61,159290.698129916,17471.7807460271,47774.6154483709,18072.9056756863
62,149159.931942955,15989.1007085613,52568.604111639,17281.3632368452
63,146217.986290992,14451.0386648147,57472.5921975901,16761.3828466034
64,157697.32050893,13099.2447036298,61268.2343865528,15810.2004008873
65,129369.670004353,10916.6537512698,50733.8906544769,13757.7855898999
66,128085.430296246,9589.14723206329,45222.3673629073,12578.0551087831
67,120899.928059025,9349.61994422388,45334.5502695089,11536.9017272423
68,106836.780715178,8109.96853878134,41883.5860433086,10103.6647027317
69,107007.802365879,7844.66902867321,40557.5884300401,9589.94017540803
70,96671.8252535074,7637.1509931935,40090.7761494652,9175.24760383387
71,90891.6180386625,7535.12285348265,41517.9712982022,8520.28780965267
72,87843.0168597178,6770.38883334962,40375.4959072152,7171.09839971738
73,83176.8915026022,6535.71755980328,38345.2338813643,6602.1570562302
74,80262.0818623583,6317.9219504091,36585.1260206836,6053.87016654899
75,75200.0312213767,5870.85037518495,35618.8591206933,5465.25928274501
76,69688.5412983268,5629.57770231817,33445.2359145578,4958.64508479721
77,66252.3115931836,5211.42646999719,31497.5850247177,4555.6769121016
78,64905.0033359909,4942.55038605178,29242.0673597415,4299.37891821577
79,62585.8451627113,4435.55894499202,27474.4377291999,3981.15816309675
80,63844.194714084,4275.06716599012,26644.9083127427,3876.8298071832
81,61578.2238104631,4101.35465082551,24882.3527364281,3602.06880228335
82,58104.0107456609,3542.70002639285,22479.5233325374,3170.7658954089
83,54992.2757820465,3125.64958147771,21146.3020470033,2810.77258947255
84,49067.9913573146,2865.40487884017,20108.5492824801,2711.05448136513
85,45574.7001803427,2417.87034651552,18365.6434368157,2301.78603632616
86,40944.1093640244,2151.79748203382,16491.5624358351,2058.53071810666
87,35834.6822088437,1923.34301432427,14396.6075773303,1616.36719950176
88,31193.4302952936,1571.99983139843,12240.1775374536,1315.39233585433
89,27247.1018230325,1334.05691418408,10581.4968875056,1245.3443752779
90,22604.3990539452,1108.81873993559,8837.97064546431,935.811560654858
91,17206.2828464805,848.316046840818,7471.49006991807,737.911036760606
92,13012.5359576079,645.551349987383,3893.83800151401,528.074690890739
93,10738.2870734392,510.752476804529,2772.81844629659,413.142003459663
94,8748.21740415886,372.674287966887,2072.92993002858,300.178377845669
95,6249.71489305168,290.444134449316,1848.28085558656,252.560116912449
96,4748.57232049948,209.208463406174,1446.0672910163,224.151925078044
97,3194.02467565505,126.304502671076,1008.16026456372,144.51055711015
98,2112.94697812384,132.559139784946,739.360029662588,97.1338524286244
99,1435.21912350598,62.4501992031872,438.286852589641,59.0438247011952
100,2230.17585117585,148.832221832222,803.001755001755,104.990171990172
