"Age","Christianity","None","Other"
20,169758.456995384,94433.0182279676,25124.5247766484
21,165939.287290818,99796.4648871857,29326.247821996
22,158668.744552446,102083.465377595,31096.7900699587
23,154568.926671905,102439.051766245,34093.0215618505
24,154483.147524451,102622.932013349,36238.9204621999
25,156844.225852719,102404.07042003,39043.703727251
26,159205.173437221,102199.62460596,41867.2019568191
27,159176.170618503,101468.800977208,42269.0284042884
28,162138.117004948,101576.971784205,43462.9112108473
29,161785.038609967,97736.2301176279,42056.7312724051
30,163876.398400226,95687.1342222618,41652.4673775126
31,162513.507463312,90294.558317487,39305.9342192007
32,163863.51030053,88157.5588917838,36908.9308076862
33,165195.096065162,85941.9219258954,33942.982008943
34,169011.770350423,84609.510823767,32827.7188258099
35,173150.410404558,84024.8042201377,31480.7853753045
36,180566.788167939,83779.1261604103,30411.0856716507
37,189640.481126316,83955.3638005477,28545.1550731367
38,198054.463897614,84330.334114701,27830.2019876855
39,210940.215826212,86083.4333192728,27330.3508545148
40,219051.487661762,85940.671216091,26954.8411221471
41,209522.30465145,77089.0804335948,25622.6149149555
42,210237.529289,74949.9115935033,24400.5591174967
43,204554.954100767,69733.0464744949,23445.9994247385
44,203230.004344735,66036.4069041788,22108.5887510862
45,204506.82426352,64841.9420439125,22403.2336925674
46,207188.818277108,64994.506307706,22553.6754151861
47,214075.679325077,67401.4813227101,22238.8393522127
48,217110.074127798,68334.8024327917,21888.1234394101
49,218568.102438659,66934.52414197,21118.3734193714
50,219590.359712746,65883.6831317012,20334.957155553
51,211911.694438144,62136.7818132463,19989.5237486102
52,209667.708569936,60727.6998251033,19179.5916049607
53,204455.176460556,59424.2593881791,18481.5641512652
54,199641.126469969,57748.4193875079,18239.454142523
55,198149.877911556,56160.1550820621,17967.9670063817
56,193754.866454493,53959.4767091014,17172.6568364057
57,189520.930602028,51277.0456437894,15774.0237541825
58,190686.872785602,49861.9982955492,15272.1289188485
59,187167.091235411,46514.9500550539,14012.9587095353
60,187490.100288072,44878.6921537034,13360.2075582247
61,186599.876922524,43256.82316372,12743.2999137559
62,183206.894727568,40104.8400834686,11679.2651889636
63,185228.352630578,38604.7264189901,11074.9209504322
64,197871.90361816,39688.1890019884,10318.9073798519
65,165418.381571603,30677.3849155507,8675.23351284682
66,159461.504134851,28300.6580225012,7728.83784264764
67,154130.151207861,26041.2370337225,6958.61175841609
68,138546.259846061,22230.1110944557,6155.6290594837
69,138040.379535497,21320.2788338,5651.34163070334
70,129417.011775529,18822.5538178473,5329.43440662374
71,126253.54595642,17166.0094472068,5051.44459637321
72,121874.123208468,15792.7187695979,4499.15802193432
73,115598.578654543,14719.7422621307,4330.67908332593
74,111563.810134475,13624.7013245256,4029.48854099963
75,106069.390042197,12508.0491288484,3585.56082895453
76,98943.9170546729,11353.8799788797,3410.20296644746
77,93744.6808555998,10692.720255015,3083.5988893852
78,90418.7177357851,10011.9657656131,2961.31649860181
79,86403.4345213543,9417.52533416573,2659.04014447999
80,86638.9946933634,9292.37170982954,2709.6335968071
81,82693.3157931713,8855.19441712332,2608.4897897054
82,76977.5327814905,8019.09154769137,2308.37567081814
83,72540.2405442618,7471.727869118,2064.03158662023
84,66224.9130344046,6559.64705443921,1964.43991115616
85,60889.5606191305,6178.14124119074,1599.29813967872
86,54667.8851286159,5376.67229797382,1601.44257341028
87,47743.3869826449,4607.29200075366,1418.32101660142
88,41200.7255936675,3908.52572559367,1195.74868073879
89,35929.7030938264,3447.28940343384,1031.00750273976
90,29642.4726603754,2920.53623139032,936.991108234252
91,23184.2703057342,2339.22267418974,744.507020076106
92,16038.7810753517,1589.34496049335,470.873964154943
93,12837.2014134276,1199.57597173145,395.222614840989
94,10226.5640032613,994.884019567876,276.551977170811
95,7647.23415828121,782.463965189013,210.30187652978
96,5883.525,565.245,187.23
97,3989.43505807814,349.370644139388,132.194297782471
98,2697.32924021489,269.732924021489,115.937835763622
99,1755.36848412223,179.119233073697,58.5122828040743
100,2824.17947774917,287.960279514527,163.8602427363
